blue,green,red,nir,swir1,ndvi,ndwi,bare_soil,temporal_difference,sar_change,slope,label
0.14,0.18,0.22,0.19,0.36,-0.07,-0.11,0.74,0.42,1.8,13,1
0.16,0.20,0.25,0.21,0.39,-0.09,-0.08,0.79,0.47,2.1,17,1
0.12,0.17,0.23,0.18,0.34,-0.12,-0.10,0.76,0.39,1.5,11,1
0.18,0.21,0.26,0.24,0.41,-0.04,-0.06,0.71,0.51,2.4,19,1
0.15,0.19,0.24,0.20,0.37,-0.09,-0.09,0.77,0.44,1.9,16,1
0.09,0.13,0.10,0.56,0.16,0.70,0.36,0.11,0.04,0.2,9,0
0.08,0.12,0.09,0.61,0.14,0.74,0.41,0.09,0.03,0.1,6,0
0.10,0.15,0.13,0.48,0.18,0.57,0.29,0.18,0.08,0.3,12,0
0.11,0.16,0.15,0.45,0.20,0.50,0.23,0.22,0.11,0.4,15,0
0.07,0.11,0.08,0.66,0.13,0.79,0.48,0.07,0.02,0.1,5,0
